"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",0,0,113,162,218,258,357,399,0,458,0,0,0,0,40,54,0,0,9,44
"2",0,61,121,0,0,275,372,408,475,509,0,0,0,0,0,0,0,0,0,0
"3",0,61,141,178,0,240,334,381,432,515,0,0,0,0,0,37,0,0,0,0
"4",0,70,114,171,223,0,0,371,435,483,40,22,0,0,0,56,29,15,0,0
"5",0,0,0,0,213,265,364,428,460,478,0,31,25,0,0,55,0,12,14,59
"6",0,0,0,0,0,0,309,408,468,540,0,0,19,0,0,0,0,15,16,42
"7",0,0,0,0,233,278,314,414,481,522,0,0,0,0,0,0,0,0,0,33
"8",0,73,135,179,220,275,329,370,0,0,0,0,25,39,49,0,0,0,0,0
"9",13,74,135,155,241,326,338,431,449,495,0,0,24,0,0,0,0,23,12,0
"10",0,0,0,0,0,295,332,415,442,514,39,0,22,0,0,36,0,17,5,34
"11",12,0,117,174,0,262,326,390,411,477,47,26,23,46,33,40,0,0,0,0
"12",0,55,119,175,252,270,0,0,428,491,0,24,29,32,46,0,0,0,0,47
"13",0,0,0,0,0,279,351,398,0,498,40,29,25,34,0,36,0,0,0,0
"14",0,0,95,0,0,0,320,0,0,0,0,0,0,35,0,46,0,0,10,0
"15",0,0,0,0,210,276,367,405,480,513,50,28,24,37,40,0,0,0,0,57
"16",0,65,133,181,218,287,320,405,0,488,59,26,0,0,0,0,0,0,0,0
"17",8,0,106,0,206,0,336,375,0,466,0,26,24,23,0,0,0,19,0,36
"18",0,0,0,0,0,268,302,404,467,0,0,0,0,0,0,0,0,0,8,46
"19",11,54,0,0,0,0,311,389,450,501,45,27,24,29,34,0,0,0,0,0
"20",0,0,107,162,0,0,336,0,419,518,0,0,0,0,0,0,0,0,0,0
"21",9,68,112,164,227,290,314,374,474,541,43,20,21,0,0,0,0,0,0,0
"22",0,60,114,0,210,275,327,0,0,0,31,28,25,31,42,0,0,0,0,0
"23",0,54,121,195,222,282,0,0,0,503,35,0,0,29,58,43,0,8,0,40
"24",0,0,0,176,203,0,0,386,0,485,28,22,24,45,54,57,0,0,0,0
"25",0,61,120,162,0,0,318,0,0,500,0,0,0,0,0,0,15,0,0,0
"26",0,0,131,182,249,273,357,402,457,527,38,22,34,0,0,0,0,33,14,0
"27",0,0,119,194,227,0,0,0,0,0,0,0,0,0,0,23,0,41,18,50
"28",0,54,116,175,246,317,352,382,0,476,0,0,0,0,35,0,0,0,0,45
